Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Architecture,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status
1206,fine-tuned,cognitivecomputations/dolphin-2.9.1-yi-1.5-9b,24.93,0.45,0.55,0.11,0.34,0.43,0.4,,bfloat16,8.829B,apache-2.0,1.05 kg,26,2024-05-18,2024-08-02,1,01-ai/Yi-1.5-9B,Yes,Yes,Yes,No,No
1209,chat,Qwen/Qwen2-7B-Instruct,24.9,0.57,0.55,0.09,0.3,0.39,0.38,,bfloat16,7.616B,apache-2.0,1.04 kg,611,2024-06-04,2024-06-12,1,Qwen/Qwen2-7B,Yes,Yes,Yes,No,No
1229,fine-tuned,NousResearch/Hermes-2-Theta-Llama-3-8B,24.78,0.65,0.52,0.1,0.3,0.39,0.34,,bfloat16,8.03B,apache-2.0,0.74 kg,198,2024-05-05,2024-07-11,2,NousResearch/Meta-Llama-3-8B,Yes,Yes,Yes,No,No
,,,,,,,,,,,,,,,,,,,,,,,,
1230,chat,speakleash/Bielik-11B-v2.2-Instruct,24.77,0.56,0.56,0.08,0.33,0.42,0.35,,bfloat16,11.169B,apache-2.0,1.46 kg,58,2024-08-26,2024-10-16,1,speakleash/Bielik-11B-v2,Yes,Yes,Yes,No,No
1231,pretrained,Qwen/Qwen2.5-Coder-14B,24.77,0.35,0.59,0.22,0.29,0.39,0.45,,bfloat16,14.77B,apache-2.0,3.63 kg,27,2024-11-08,2024-11-12,1,Qwen/Qwen2.5-Coder-14B (Merge),Yes,Yes,Yes,No,No
1232,chat,nvidia/AceMath-72B-Instruct,24.76,0.49,0.64,0.0,0.27,0.41,0.44,,bfloat16,72.706B,cc-by-nc-4.0,44.01 kg,6,2025-01-14,2025-01-24,0,nvidia/AceMath-72B-Instruct,Yes,Yes,Yes,No,No
1237,pretrained,tiiuae/Falcon3-7B-Base,24.72,0.34,0.51,0.19,0.35,0.47,0.39,,bfloat16,7.456B,other,0.61 kg,23,2024-11-21,2024-12-12,0,tiiuae/Falcon3-7B-Base,No,Yes,Yes,No,No
1246,fine-tuned,cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,24.68,0.56,0.55,0.06,0.32,0.44,0.34,,bfloat16,12.248B,apache-2.0,1.38 kg,98,2024-07-23,2024-07-26,1,mistralai/Mistral-Nemo-Base-2407,Yes,Yes,Yes,No,No
1247,chat,CohereForAI/aya-23-35B,24.68,0.65,0.54,0.03,0.29,0.43,0.34,,float16,34.981B,cc-by-nc-4.0,16.99 kg,270,2024-05-19,2024-06-12,0,CohereForAI/aya-23-35B,Yes,Yes,Yes,No,No
1286,chat,argilla/notux-8x7b-v1,24.43,0.54,0.54,0.1,0.31,0.42,0.37,,bfloat16,46.703B,apache-2.0,21.39 kg,165,2023-12-12,2024-06-12,2,mistralai/Mixtral-8x7B-v0.1,Yes,Yes,Yes,Yes,No
1290,chat,speakleash/Bielik-11B-v2.0-Instruct,24.42,0.53,0.54,0.1,0.32,0.45,0.34,,bfloat16,11.169B,apache-2.0,0.89 kg,4,2024-08-26,2024-10-16,1,speakleash/Bielik-11B-v2,Yes,Yes,Yes,No,No
1314,fine-tuned,nvidia/AceInstruct-7B,24.3,0.54,0.55,0.0,0.31,0.43,0.42,,bfloat16,7.616B,cc-by-nc-4.0,0.93 kg,5,2025-01-15,2025-01-24,0,nvidia/AceInstruct-7B,Yes,Yes,Yes,No,No
1337,multimodal,Qwen/Qwen2-VL-7B-Instruct,24.21,0.46,0.55,0.06,0.32,0.44,0.41,,bfloat16,8.291B,apache-2.0,1.05 kg,1107,2024-08-28,2024-10-20,1,Qwen/Qwen2-VL-7B-Instruct (Merge),Yes,Yes,Yes,No,No
1348,chat,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,24.17,0.43,0.56,0.09,0.27,0.43,0.47,,bfloat16,70.554B,mit,59.27 kg,497,2025-01-20,2025-01-22,0,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,Yes,Yes,Yes,No,No
1362,chat,meta-llama/Llama-3.2-3B-Instruct,24.12,0.74,0.46,0.17,0.28,0.35,0.32,,bfloat16,3.213B,llama3.2,1.27 kg,958,2024-09-18,2024-09-27,0,meta-llama/Llama-3.2-3B-Instruct,Yes,Yes,Yes,No,No
1402,chat,01-ai/Yi-34B-Chat,23.96,0.47,0.56,0.05,0.34,0.4,0.41,,bfloat16,34.389B,apache-2.0,12.56 kg,348,2023-11-22,2024-06-12,0,01-ai/Yi-34B-Chat,Yes,Yes,Yes,No,No
1407,pretrained,Qwen/Qwen2-7B,23.94,0.31,0.53,0.2,0.3,0.44,0.42,,bfloat16,7.616B,apache-2.0,1.28 kg,151,2024-06-04,2024-06-09,0,Qwen/Qwen2-7B,No,Yes,Yes,No,No
1414,chat,meta-llama/Meta-Llama-3-8B-Instruct,23.91,0.74,0.5,0.09,0.26,0.36,0.37,,bfloat16,8.03B,llama3,0.80 kg,3799,2024-04-17,2024-06-12,0,meta-llama/Meta-Llama-3-8B-Instruct,Yes,Yes,Yes,No,No
1427,chat,ibm-granite/granite-3.0-8b-instruct,23.86,0.53,0.52,0.13,0.33,0.39,0.35,,bfloat16,8.171B,apache-2.0,1.71 kg,199,2024-10-02,2024-10-20,1,ibm-granite/granite-3.0-8b-instruct (Merge),Yes,Yes,Yes,No,No
1430,pretrained,google/gemma-2-27b,23.85,0.25,0.56,0.16,0.35,0.44,0.44,,bfloat16,27.227B,gemma,5.61 kg,195,2024-06-24,2024-08-24,0,google/gemma-2-27b,No,Yes,Yes,No,No
1431,chat,mistralai/Mixtral-8x7B-Instruct-v0.1,23.84,0.56,0.5,0.09,0.3,0.42,0.37,,bfloat16,46.703B,apache-2.0,13.76 kg,4287,2023-12-10,2024-06-12,1,mistralai/Mixtral-8x7B-v0.1,Yes,Yes,Yes,Yes,No
1453,chat,abacusai/Smaug-34B-v0.1,23.76,0.5,0.54,0.0,0.33,0.4,0.45,,bfloat16,34.389B,apache-2.0,11.79 kg,60,2024-01-25,2024-06-12,1,jondurbin/bagel-34b-v0.2,Yes,Yes,Yes,No,No
1464,pretrained,meta-llama/Llama-3.1-8B-Instruct,23.74,0.49,0.51,0.15,0.32,0.4,0.38,,float16,8.03B,llama3.1,1.41 kg,3582,2024-07-18,2025-02-06,1,meta-llama/Meta-Llama-3.1-8B,No,Yes,Yes,No,No
1484,chat,mistralai/Mistral-Nemo-Instruct-2407,23.63,0.64,0.5,0.06,0.29,0.39,0.35,,bfloat16,12.248B,apache-2.0,3.00 kg,1442,2024-07-17,2024-08-29,1,mistralai/Mistral-Nemo-Base-2407,Yes,Yes,Yes,No,No
1512,chat,NousResearch/Hermes-3-Llama-3.1-8B,23.49,0.62,0.52,0.05,0.3,0.44,0.31,,bfloat16,8.03B,llama3,0.91 kg,290,2024-07-28,2024-08-28,1,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No
1522,chat,cognitivecomputations/dolphin-2.9.1-llama-3-70b,23.44,0.38,0.52,0.06,0.31,0.5,0.41,,bfloat16,70.554B,llama3,12.15 kg,41,2024-05-22,2024-06-27,1,meta-llama/Meta-Llama-3-70B,Yes,Yes,Yes,No,No
1540,chat,NousResearch/Nous-Hermes-2-SOLAR-10.7B,23.36,0.53,0.54,0.05,0.29,0.44,0.35,,bfloat16,10.732B,apache-2.0,0.64 kg,204,2024-01-01,2024-06-12,1,upstage/SOLAR-10.7B-v1.0,Yes,Yes,Yes,No,No
1551,fine-tuned,mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated,23.29,0.73,0.49,0.07,0.26,0.36,0.35,,bfloat16,8.03B,llama3.1,2.45 kg,151,2024-07-24,2024-10-13,2,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No
1553,fine-tuned,CausalLM/34b-beta,23.29,0.3,0.56,0.05,0.35,0.37,0.53,,float16,34.389B,gpl-3.0,2.93 kg,62,2024-02-06,2024-06-26,0,CausalLM/34b-beta,No,Yes,Yes,No,No
1554,pretrained,mistralai/Codestral-22B-v0.1,23.28,0.58,0.51,0.1,0.3,0.42,0.32,,bfloat16,22.247B,other,1.31 kg,1211,2024-05-29,2024-09-28,0,mistralai/Codestral-22B-v0.1,Yes,Yes,Yes,No,No
1612,chat,01-ai/Yi-1.5-9B-Chat-16K,23.04,0.42,0.52,0.13,0.31,0.41,0.4,,bfloat16,8.829B,apache-2.0,0.79 kg,35,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-9B-Chat-16K,Yes,Yes,Yes,No,No
1627,chat,LLM360/K2-Chat,22.94,0.52,0.54,0.02,0.31,0.46,0.34,,bfloat16,65.286B,apache-2.0,17.26 kg,35,2024-05-22,2024-06-12,0,LLM360/K2-Chat,Yes,Yes,Yes,No,No
1643,chat,speakleash/Bielik-11B-v2.1-Instruct,22.85,0.51,0.55,0.01,0.34,0.42,0.34,,bfloat16,11.169B,apache-2.0,1.31 kg,3,2024-08-26,2024-10-16,1,speakleash/Bielik-11B-v2,Yes,Yes,Yes,No,No
1648,fine-tuned,openchat/openchat-3.6-8b-20240522,22.83,0.53,0.53,0.08,0.32,0.4,0.32,,bfloat16,8.03B,llama3,3.27 kg,151,2024-05-07,2024-06-26,1,meta-llama/Meta-Llama-3-8B,Yes,Yes,Yes,No,No
1655,chat,refuelai/Llama-3-Refueled,22.8,0.46,0.59,0.04,0.3,0.45,0.31,,bfloat16,8.03B,cc-by-nc-4.0,0.88 kg,192,2024-05-03,2024-06-12,0,refuelai/Llama-3-Refueled,Yes,Yes,Yes,No,No
1681,chat,openchat/openchat-3.5-1210,22.69,0.6,0.45,0.08,0.3,0.44,0.31,,bfloat16,7.242B,apache-2.0,0.52 kg,274,2023-12-12,2024-06-12,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
1682,fine-tuned,stabilityai/StableBeluga2,22.68,0.38,0.58,0.04,0.32,0.47,0.33,,bfloat16,68.977B,-,6.25 kg,883,2023-07-20,2024-06-13,0,stabilityai/StableBeluga2,No,Yes,Yes,No,No
1689,fine-tuned,openchat/openchat-3.5-0106,22.66,0.6,0.46,0.07,0.31,0.43,0.33,,bfloat16,7.242B,apache-2.0,2.35 kg,351,2024-01-07,2024-06-27,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
1715,chat,allenai/Llama-3.1-Tulu-3-8B-SFT,22.53,0.74,0.39,0.11,0.28,0.43,0.28,,bfloat16,8.03B,llama3.1,0.68 kg,22,2024-11-18,2024-11-22,1,allenai/Llama-3.1-Tulu-3-8B-SFT (Merge),Yes,Yes,Yes,No,No
1716,chat,Qwen/Qwen2.5-Coder-7B-Instruct,22.52,0.61,0.5,0.03,0.29,0.41,0.34,,float16,7.616B,apache-2.0,0.70 kg,403,2024-09-17,2024-11-07,1,Qwen/Qwen2.5-Coder-7B-Instruct (Merge),Yes,Yes,Yes,No,No
1734,chat,Qwen/Qwen2.5-Coder-7B-Instruct,22.43,0.61,0.5,0.03,0.29,0.41,0.34,,bfloat16,7.616B,apache-2.0,1.78 kg,403,2024-09-17,2024-11-07,1,Qwen/Qwen2.5-Coder-7B-Instruct (Merge),Yes,Yes,Yes,No,No
1743,pretrained,01-ai/Yi-34B,22.39,0.3,0.55,0.05,0.37,0.41,0.44,,bfloat16,34.389B,apache-2.0,12.83 kg,1291,2023-11-01,2024-06-12,0,01-ai/Yi-34B,No,Yes,Yes,No,No
1751,fine-tuned,WizardLMTeam/WizardLM-70B-V1.0,22.36,0.5,0.56,0.04,0.27,0.44,0.34,,float16,70B,llama2,29.10 kg,235,2023-08-09,2024-06-12,0,WizardLMTeam/WizardLM-70B-V1.0,No,Yes,Yes,No,No
1757,fine-tuned,mlabonne/Daredevil-8B,22.31,0.45,0.52,0.1,0.31,0.39,0.38,,bfloat16,8.03B,other,1.51 kg,36,2024-05-25,2024-07-02,1,mlabonne/Daredevil-8B (Merge),Yes,Yes,Yes,No,No
1766,chat,abacusai/Smaug-Mixtral-v0.1,22.24,0.56,0.52,0.0,0.3,0.43,0.34,,bfloat16,46.703B,apache-2.0,3.94 kg,12,2024-02-18,2024-08-30,0,abacusai/Smaug-Mixtral-v0.1,Yes,Yes,Yes,Yes,No
1780,chat,CohereForAI/aya-expanse-8b,22.14,0.64,0.5,0.07,0.3,0.37,0.3,,float16,8.028B,cc-by-nc-4.0,1.17 kg,329,2024-10-23,2024-10-24,0,CohereForAI/aya-expanse-8b,Yes,Yes,Yes,No,No
1781,pretrained,01-ai/Yi-1.5-9B,22.14,0.29,0.51,0.11,0.38,0.43,0.39,,bfloat16,8.829B,apache-2.0,0.73 kg,47,2024-05-11,2024-06-12,0,01-ai/Yi-1.5-9B,No,Yes,Yes,No,No
1801,chat,mistralai/Ministral-8B-Instruct-2410,22.01,0.59,0.48,0.06,0.28,0.41,0.33,,bfloat16,8.02B,other,0.80 kg,418,2024-10-15,2024-12-01,0,mistralai/Ministral-8B-Instruct-2410,Yes,Yes,Yes,No,No
1836,chat,NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,21.84,0.57,0.51,0.02,0.3,0.42,0.31,,bfloat16,46.703B,apache-2.0,10.39 kg,56,2023-12-26,2024-06-12,1,mistralai/Mixtral-8x7B-v0.1,Yes,Yes,Yes,Yes,No
1866,chat,nvidia/Mistral-NeMo-Minitron-8B-Instruct,21.72,0.5,0.53,0.01,0.29,0.39,0.4,,bfloat16,8.414B,other,1.99 kg,72,2024-10-02,2024-10-04,1,nvidia/Mistral-NeMo-Minitron-8B-Instruct (Merge),Yes,Yes,Yes,No,No
1870,chat,NousResearch/Hermes-2-Pro-Llama-3-8B,21.7,0.54,0.51,0.06,0.29,0.43,0.31,,float16,8.031B,llama3,0.75 kg,416,2024-04-30,2024-06-13,1,NousResearch/Meta-Llama-3-8B,Yes,Yes,Yes,No,No
1873,chat,NousResearch/Hermes-2-Pro-Mistral-7B,21.7,0.57,0.5,0.05,0.27,0.44,0.29,,bfloat16,7.242B,apache-2.0,0.47 kg,489,2024-03-11,2024-06-12,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
1882,pretrained,ibm-granite/granite-3.0-8b-base,21.65,0.46,0.49,0.1,0.33,0.41,0.33,,bfloat16,8.171B,apache-2.0,1.89 kg,22,2024-10-02,2024-10-20,0,ibm-granite/granite-3.0-8b-base,No,Yes,Yes,No,No
1883,chat,openchat/openchat_3.5,21.65,0.59,0.44,0.07,0.3,0.42,0.32,,bfloat16,7B,apache-2.0,0.50 kg,1118,2023-10-30,2024-06-12,0,openchat/openchat_3.5,Yes,Yes,Yes,No,No
1915,fine-tuned,mlabonne/NeuralDaredevil-8B-abliterated,21.5,0.42,0.51,0.09,0.3,0.41,0.38,,bfloat16,8.03B,llama3,0.99 kg,176,2024-05-27,2024-06-27,0,mlabonne/NeuralDaredevil-8B-abliterated,No,Yes,Yes,No,No
1928,fine-tuned,Intel/neural-chat-7b-v3-2,21.43,0.5,0.5,0.05,0.29,0.49,0.27,,float16,7B,apache-2.0,0.56 kg,57,2023-11-21,2024-06-12,0,Intel/neural-chat-7b-v3-2,No,Yes,Yes,No,No
1932,chat,teknium/OpenHermes-2-Mistral-7B,21.42,0.53,0.49,0.04,0.28,0.45,0.29,,bfloat16,7B,apache-2.0,0.48 kg,255,2023-10-12,2024-06-12,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
1977,chat,teknium/OpenHermes-2.5-Mistral-7B,21.27,0.56,0.49,0.05,0.28,0.42,0.31,,bfloat16,7.242B,apache-2.0,0.47 kg,827,2023-10-29,2024-06-12,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
1989,chat,cognitivecomputations/dolphin-2.9.2-qwen2-7b,21.18,0.35,0.49,0.13,0.29,0.42,0.41,,bfloat16,7.616B,apache-2.0,1.28 kg,65,2024-05-24,2024-07-10,1,Qwen/Qwen2-7B,Yes,Yes,Yes,No,No
1998,pretrained,google/gemma-2-9b,21.15,0.2,0.54,0.13,0.33,0.45,0.41,,bfloat16,9B,gemma,5.66 kg,638,2024-06-24,2024-07-11,0,google/gemma-2-9b,No,Yes,Yes,No,No
2011,chat,ibm-granite/granite-3.1-2b-instruct,21.06,0.63,0.44,0.11,0.29,0.36,0.28,,float16,2.534B,apache-2.0,0.51 kg,32,2024-12-06,2024-12-16,1,ibm-granite/granite-3.1-2b-instruct (Merge),Yes,Yes,Yes,No,No
2016,chat,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,21.04,0.58,0.49,0.04,0.29,0.4,0.3,,bfloat16,7.242B,apache-2.0,0.47 kg,174,2024-02-18,2024-06-12,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
2020,chat,Qwen/Qwen2.5-3B-Instruct,21.03,0.65,0.47,0.0,0.27,0.4,0.33,,bfloat16,3B,other,1.39 kg,161,2024-09-17,2024-09-19,1,Qwen/Qwen2.5-3B,Yes,Yes,Yes,No,No
2023,chat,Qwen/Qwen1.5-14B-Chat,21.02,0.48,0.52,0.0,0.27,0.44,0.36,,bfloat16,14.167B,other,1.34 kg,112,2024-01-30,2024-06-12,0,Qwen/Qwen1.5-14B-Chat,Yes,Yes,Yes,No,No
2028,fine-tuned,Intel/neural-chat-7b-v3-1,21.0,0.47,0.51,0.03,0.29,0.5,0.27,,float16,7.242B,apache-2.0,0.56 kg,546,2023-11-14,2024-06-12,1,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No
2036,chat,01-ai/Yi-1.5-6B-Chat,20.98,0.51,0.46,0.05,0.3,0.44,0.32,,bfloat16,6.061B,apache-2.0,0.97 kg,41,2024-05-11,2024-10-22,0,01-ai/Yi-1.5-6B-Chat,Yes,Yes,Yes,No,No
2061,chat,berkeley-nest/Starling-LM-7B-alpha,20.83,0.55,0.44,0.08,0.3,0.41,0.32,,bfloat16,7.242B,apache-2.0,0.55 kg,557,2023-11-25,2024-06-12,0,berkeley-nest/Starling-LM-7B-alpha,Yes,Yes,Yes,No,No
2083,merge,mlabonne/ChimeraLlama-3-8B-v3,20.68,0.44,0.5,0.09,0.29,0.4,0.37,,float16,8.03B,other,0.82 kg,15,2024-05-01,2024-08-25,1,mlabonne/ChimeraLlama-3-8B-v3 (Merge),No,Yes,Yes,No,No
2093,chat,meta-llama/Meta-Llama-3-8B-Instruct,20.6,0.48,0.49,0.09,0.29,0.38,0.36,,float16,8.03B,llama3,0.95 kg,3799,2024-04-17,2024-07-08,0,meta-llama/Meta-Llama-3-8B-Instruct,No,Yes,Yes,No,No
2103,pretrained,Qwen/Qwen1.5-14B,20.51,0.29,0.51,0.18,0.29,0.42,0.36,,bfloat16,14.167B,other,1.93 kg,37,2024-01-22,2024-06-13,0,Qwen/Qwen1.5-14B,No,Yes,Yes,No,No
2135,chat,allenai/OLMo-2-1124-7B-Instruct,20.33,0.72,0.4,0.06,0.28,0.35,0.27,,float16,7.299B,apache-2.0,0.82 kg,24,2024-12-18,2025-01-07,1,allenai/OLMo-2-1124-7B-Instruct (Merge),Yes,Yes,Yes,No,No
2163,merge,mlabonne/ChimeraLlama-3-8B-v2,20.13,0.45,0.5,0.09,0.29,0.38,0.36,,float16,8.03B,other,0.84 kg,14,2024-04-22,2024-08-25,1,mlabonne/ChimeraLlama-3-8B-v2 (Merge),No,Yes,Yes,No,No
2165,fine-tuned,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,20.12,0.42,0.42,0.0,0.28,0.45,0.47,,bfloat16,32.764B,mit,23.64 kg,924,2025-01-20,2025-01-21,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,Yes,Yes,Yes,No,No
2174,pretrained,ibm-granite/granite-3.1-8b-base,20.07,0.42,0.48,0.1,0.32,0.39,0.32,,float16,8.171B,apache-2.0,0.60 kg,20,2024-12-06,2024-12-16,0,ibm-granite/granite-3.1-8b-base,No,Yes,Yes,No,No
2191,fine-tuned,Intel/neural-chat-7b-v3-3,19.99,0.48,0.49,0.01,0.29,0.49,0.26,,float16,7B,apache-2.0,0.56 kg,78,2023-12-09,2024-06-12,2,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No
2202,pretrained,01-ai/Yi-34B-200K,19.89,0.15,0.54,0.05,0.36,0.38,0.45,,bfloat16,34.389B,apache-2.0,12.75 kg,318,2023-11-06,2024-06-12,0,01-ai/Yi-34B-200K,No,Yes,Yes,No,No
2204,fine-tuned,abacusai/Liberated-Qwen1.5-14B,19.87,0.36,0.49,0.12,0.28,0.42,0.35,,float16,14B,other,4.08 kg,21,2024-03-05,2024-09-05,0,abacusai/Liberated-Qwen1.5-14B,Yes,Yes,Yes,No,No
2221,pretrained,01-ai/Yi-1.5-9B-32K,19.78,0.23,0.5,0.11,0.36,0.42,0.38,,bfloat16,8.829B,apache-2.0,0.78 kg,18,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-9B-32K,No,Yes,Yes,No,No
2226,chat,nvidia/AceMath-7B-Instruct,19.77,0.45,0.5,0.0,0.29,0.42,0.34,,bfloat16,7.616B,cc-by-nc-4.0,0.99 kg,9,2025-01-13,2025-01-24,0,nvidia/AceMath-7B-Instruct,Yes,Yes,Yes,No,No
2232,fine-tuned,mlabonne/Daredevil-8B-abliterated,19.73,0.44,0.43,0.1,0.29,0.41,0.37,,bfloat16,8.03B,other,1.20 kg,35,2024-05-26,2024-07-02,0,mlabonne/Daredevil-8B-abliterated,Yes,Yes,Yes,No,No
2242,fine-tuned,mistralai/Mixtral-8x7B-v0.1,19.67,0.23,0.51,0.09,0.32,0.44,0.39,,float16,46.703B,apache-2.0,5.14 kg,1667,2023-12-01,2024-06-27,0,mistralai/Mixtral-8x7B-v0.1,No,Yes,Yes,Yes,No
2248,chat,upstage/SOLAR-10.7B-Instruct-v1.0,19.63,0.47,0.52,0.0,0.31,0.39,0.31,,float16,10.732B,cc-by-nc-4.0,0.78 kg,619,2023-12-12,2024-06-12,1,upstage/SOLAR-10.7B-Instruct-v1.0 (Merge),Yes,Yes,Yes,No,No
2277,chat,argilla-warehouse/Llama-3.1-8B-MagPie-Ultra,19.46,0.58,0.46,0.05,0.27,0.35,0.31,,bfloat16,8.03B,llama3.1,0.97 kg,1,2024-09-26,2024-09-30,1,meta-llama/Llama-3.1-8B,Yes,Yes,Yes,No,No
2278,pretrained,mistralai/Mixtral-8x7B-v0.1,19.45,0.24,0.51,0.1,0.31,0.43,0.38,,bfloat16,46.703B,apache-2.0,18.39 kg,1667,2023-12-01,2024-08-20,0,mistralai/Mixtral-8x7B-v0.1,No,Yes,Yes,Yes,No
2288,merge,mlabonne/Beyonder-4x7B-v3,19.38,0.56,0.47,0.05,0.29,0.4,0.25,,float16,24.154B,cc-by-nc-4.0,1.39 kg,58,2024-03-21,2024-06-12,1,mlabonne/Beyonder-4x7B-v3 (Merge),Yes,Yes,Yes,Yes,No
2290,chat,cognitivecomputations/dolphin-2.9.3-mistral-7B-32k,19.37,0.41,0.48,0.05,0.29,0.46,0.28,,bfloat16,7.248B,apache-2.0,0.60 kg,50,2024-06-25,2024-07-04,1,mistralai/Mistral-7B-v0.3,Yes,Yes,Yes,No,No
2302,chat,google/recurrentgemma-9b-it,19.23,0.5,0.44,0.07,0.27,0.44,0.28,,bfloat16,9B,gemma,13.36 kg,50,2024-06-07,2024-07-05,0,google/recurrentgemma-9b-it,Yes,Yes,Yes,No,No
2305,pretrained,Qwen/Qwen2.5-Coder-7B,19.21,0.34,0.49,0.19,0.26,0.34,0.37,,bfloat16,7.616B,apache-2.0,2.30 kg,89,2024-09-16,2024-09-21,1,Qwen/Qwen2.5-Coder-7B (Merge),Yes,Yes,Yes,No,No
2313,chat,mistralai/Mistral-7B-Instruct-v0.3,19.17,0.55,0.47,0.04,0.28,0.37,0.31,,bfloat16,7.248B,apache-2.0,0.54 kg,1315,2024-05-22,2024-06-12,1,mistralai/Mistral-7B-v0.3,Yes,Yes,Yes,No,No
2341,fine-tuned,abacusai/Llama-3-Smaug-8B,18.97,0.49,0.49,0.08,0.25,0.36,0.32,,bfloat16,8.03B,llama2,0.91 kg,89,2024-04-19,2024-07-02,0,abacusai/Llama-3-Smaug-8B,Yes,Yes,Yes,No,No
2344,chat,mlabonne/NeuralBeagle14-7B,18.95,0.49,0.46,0.05,0.28,0.43,0.26,,float16,7.242B,cc-by-nc-4.0,0.67 kg,158,2024-01-15,2024-06-27,2,mlabonne/Beagle14-7B (Merge),Yes,Yes,Yes,No,No
2382,chat,HuggingFaceH4/zephyr-7b-alpha,18.57,0.52,0.46,0.02,0.3,0.39,0.28,,bfloat16,7.242B,mit,0.80 kg,1104,2023-10-09,2024-06-12,1,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
2391,chat,mistralai/Mistral-7B-Instruct-v0.2,18.46,0.55,0.45,0.03,0.28,0.4,0.27,,bfloat16,7.242B,apache-2.0,0.53 kg,2643,2023-12-11,2024-06-12,0,mistralai/Mistral-7B-Instruct-v0.2,Yes,Yes,Yes,No,No
2398,chat,argilla/notus-7b-v1,18.41,0.51,0.45,0.03,0.29,0.34,0.3,,bfloat16,7.242B,mit,0.67 kg,122,2023-11-16,2024-06-27,2,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No
2400,chat,cognitivecomputations/dolphin-2.9-llama3-8b,18.39,0.39,0.49,0.06,0.29,0.44,0.28,,bfloat16,8.03B,other,0.74 kg,436,2024-04-20,2024-06-12,1,meta-llama/Meta-Llama-3-8B,Yes,Yes,Yes,No,No
2407,chat,ibm-granite/granite-3.0-2b-instruct,18.32,0.51,0.44,0.09,0.3,0.35,0.28,,bfloat16,2.634B,apache-2.0,1.02 kg,47,2024-10-02,-,1,ibm-granite/granite-3.0-2b-instruct (Merge),Yes,Yes,Yes,No,No
2409,pretrained,meta-llama/Llama-2-70b-hf,18.31,0.24,0.55,0.03,0.3,0.41,0.37,,float16,68.977B,llama2,29.62 kg,845,2023-07-11,2024-06-12,0,meta-llama/Llama-2-70b-hf,No,Yes,Yes,No,No
2412,chat,gradientai/Llama-3-8B-Instruct-Gradient-1048k,18.25,0.45,0.43,0.05,0.28,0.43,0.29,,bfloat16,8.03B,llama3,0.89 kg,679,2024-04-29,2024-06-12,0,gradientai/Llama-3-8B-Instruct-Gradient-1048k,Yes,Yes,Yes,No,No
2423,fine-tuned,microsoft/Orca-2-13b,18.15,0.31,0.49,0.01,0.28,0.51,0.27,,bfloat16,13B,other,1.01 kg,666,2023-11-14,2024-06-12,0,microsoft/Orca-2-13b,No,Yes,Yes,No,No
2427,pretrained,tiiuae/Falcon3-Mamba-7B-Base,18.13,0.29,0.47,0.19,0.31,0.34,0.3,,bfloat16,7.273B,other,0.84 kg,18,2024-12-11,2024-12-12,0,tiiuae/Falcon3-Mamba-7B-Base,No,Yes,Yes,No,No
2438,merge,abacusai/bigstral-12b-32k,18.07,0.42,0.47,0.01,0.29,0.46,0.26,,float16,12.476B,apache-2.0,0.97 kg,43,2024-03-06,2024-09-04,1,abacusai/bigstral-12b-32k (Merge),No,Yes,Yes,No,No
2454,fine-tuned,Intel/neural-chat-7b-v3,17.94,0.28,0.5,0.02,0.29,0.51,0.27,,float16,7B,apache-2.0,0.49 kg,67,2023-10-25,2024-06-12,1,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No
2455,chat,nvidia/Nemotron-Mini-4B-Instruct,17.94,0.67,0.39,0.0,0.28,0.38,0.26,,bfloat16,4B,other,1.12 kg,148,2024-09-10,2024-09-25,1,nvidia/Minitron-4B-Base,Yes,Yes,Yes,No,No
